Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.01,0.2815099994952412
75% Corpus,4,0.9099999999999999,0.31,0.2797972388824157
75% Corpus,4,0.9099999999999999,0.61,0.29807349653535825
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.2939777423724339
75% Corpus,4,0.9099999999999999,symmetric,0.2747772268752353
75% Corpus,4,symmetric,0.01,0.2811901184399441
75% Corpus,4,symmetric,0.31,0.27693662486077497
75% Corpus,4,symmetric,0.61,0.29807349653535825
75% Corpus,4,symmetric,0.9099999999999999,0.2865160365308818
75% Corpus,4,symmetric,symmetric,0.2747772268752353
75% Corpus,4,asymmetric,0.01,0.2815099994952412
75% Corpus,4,asymmetric,0.31,0.2766121624776398
75% Corpus,4,asymmetric,0.61,0.2960590477694644
75% Corpus,4,asymmetric,0.9099999999999999,0.29322335299820057
75% Corpus,4,asymmetric,symmetric,0.27440725381605235
75% Corpus,5,0.01,0.01,0.25009837438057525
75% Corpus,5,0.01,0.31,0.2644926501070632
75% Corpus,5,0.01,0.61,0.26606354266501825
75% Corpus,5,0.01,0.9099999999999999,0.28520457153697976
75% Corpus,5,0.01,symmetric,0.2513000360639944
75% Corpus,5,0.31,0.01,0.25009837438057525
75% Corpus,5,0.31,0.31,0.2644926501070632
75% Corpus,5,0.31,0.61,0.2660635426650183
75% Corpus,5,0.31,0.9099999999999999,0.28520457153697976
75% Corpus,5,0.31,symmetric,0.2513000360639944
75% Corpus,5,0.61,0.01,0.25013842556719157
75% Corpus,5,0.61,0.31,0.2644926501070632
75% Corpus,5,0.61,0.61,0.2620421065057861
75% Corpus,5,0.61,0.9099999999999999,0.2853106747757354
75% Corpus,5,0.61,symmetric,0.2513000360639944
75% Corpus,5,0.9099999999999999,0.01,0.25013842556719157
75% Corpus,5,0.9099999999999999,0.31,0.2621658020781677
75% Corpus,5,0.9099999999999999,0.61,0.2620421065057861
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.2828505157975032
75% Corpus,5,0.9099999999999999,symmetric,0.2513000360639944
75% Corpus,5,symmetric,0.01,0.25009837438057525
75% Corpus,5,symmetric,0.31,0.2644926501070632
75% Corpus,5,symmetric,0.61,0.26606354266501825
75% Corpus,5,symmetric,0.9099999999999999,0.28520457153697976
75% Corpus,5,symmetric,symmetric,0.2513000360639944
75% Corpus,5,asymmetric,0.01,0.24929246647212197
75% Corpus,5,asymmetric,0.31,0.26022963171316693
75% Corpus,5,asymmetric,0.61,0.2646950379953562
75% Corpus,5,asymmetric,0.9099999999999999,0.26575913410585256
75% Corpus,5,asymmetric,symmetric,0.25112746081574533
75% Corpus,6,0.01,0.01,0.2641562494740821
75% Corpus,6,0.01,0.31,0.26949354807025855
75% Corpus,6,0.01,0.61,0.27974450933205774
75% Corpus,6,0.01,0.9099999999999999,0.27118397872798866
75% Corpus,6,0.01,symmetric,0.27080110985602307
75% Corpus,6,0.31,0.01,0.2673098021949629
75% Corpus,6,0.31,0.31,0.2672853585169051
75% Corpus,6,0.31,0.61,0.27754382247688664
75% Corpus,6,0.31,0.9099999999999999,0.26600893309041945
75% Corpus,6,0.31,symmetric,0.27080110985602307
75% Corpus,6,0.61,0.01,0.26657474956976673
75% Corpus,6,0.61,0.31,0.2672853585169051
75% Corpus,6,0.61,0.61,0.27855144830338546
75% Corpus,6,0.61,0.9099999999999999,0.26600893309041945
75% Corpus,6,0.61,symmetric,0.27080110985602307
75% Corpus,6,0.9099999999999999,0.01,0.27151619433126434
75% Corpus,6,0.9099999999999999,0.31,0.2672853585169051
75% Corpus,6,0.9099999999999999,0.61,0.28187525336705255
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.26600893309041945
75% Corpus,6,0.9099999999999999,symmetric,0.27040201760100885
