Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.4110826290099397
100% Corpus,9,0.31,symmetric,0.26826396267558206
100% Corpus,9,0.61,0.01,0.2790831751202136
100% Corpus,9,0.61,0.31,0.28256558698791995
100% Corpus,9,0.61,0.61,0.3620630424796701
100% Corpus,9,0.61,0.9099999999999999,0.39995140150228786
100% Corpus,9,0.61,symmetric,0.26826396267558206
100% Corpus,9,0.9099999999999999,0.01,0.27929526106319347
100% Corpus,9,0.9099999999999999,0.31,0.28457370225344597
100% Corpus,9,0.9099999999999999,0.61,0.358087959569166
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.41588439119108656
100% Corpus,9,0.9099999999999999,symmetric,0.27072308056183186
100% Corpus,9,symmetric,0.01,0.2790831751202136
100% Corpus,9,symmetric,0.31,0.2831165405883227
100% Corpus,9,symmetric,0.61,0.37120546811449995
100% Corpus,9,symmetric,0.9099999999999999,0.40745675336316345
100% Corpus,9,symmetric,symmetric,0.26826396267558206
100% Corpus,9,asymmetric,0.01,0.2766519559594476
100% Corpus,9,asymmetric,0.31,0.2833042028300207
100% Corpus,9,asymmetric,0.61,0.3716767513019249
100% Corpus,9,asymmetric,0.9099999999999999,0.40396438039099736
100% Corpus,9,asymmetric,symmetric,0.2718721184692571
100% Corpus,10,0.01,0.01,0.29258570481206153
100% Corpus,10,0.01,0.31,0.30399131624851927
100% Corpus,10,0.01,0.61,0.2898386957744596
100% Corpus,10,0.01,0.9099999999999999,0.35571980952696663
100% Corpus,10,0.01,symmetric,0.28504960161772513
100% Corpus,10,0.31,0.01,0.2939318473072677
100% Corpus,10,0.31,0.31,0.30362245989772696
100% Corpus,10,0.31,0.61,0.2790674541890826
100% Corpus,10,0.31,0.9099999999999999,0.3548886854603456
100% Corpus,10,0.31,symmetric,0.28310178826223104
100% Corpus,10,0.61,0.01,0.29382747269162024
100% Corpus,10,0.61,0.31,0.3044965196680335
100% Corpus,10,0.61,0.61,0.2882062257355601
100% Corpus,10,0.61,0.9099999999999999,0.3549489147119436
100% Corpus,10,0.61,symmetric,0.2881168150411354
100% Corpus,10,0.9099999999999999,0.01,0.29237495413872777
100% Corpus,10,0.9099999999999999,0.31,0.3012237728788644
100% Corpus,10,0.9099999999999999,0.61,0.2892014396985342
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.35092693395943264
100% Corpus,10,0.9099999999999999,symmetric,0.2945846203845454
100% Corpus,10,symmetric,0.01,0.29258570481206153
100% Corpus,10,symmetric,0.31,0.30399131624851927
100% Corpus,10,symmetric,0.61,0.2898386957744596
100% Corpus,10,symmetric,0.9099999999999999,0.35571980952696663
100% Corpus,10,symmetric,symmetric,0.2871660474479724
100% Corpus,10,asymmetric,0.01,0.29240110467251224
100% Corpus,10,asymmetric,0.31,0.30220982576656874
100% Corpus,10,asymmetric,0.61,0.28075523768973965
100% Corpus,10,asymmetric,0.9099999999999999,0.3068875940638677
100% Corpus,10,asymmetric,symmetric,0.2799906322847785
